name,cik,year,month,day,tag
920527_2002_03_27.txt,920527,2002,3,27,109
1040792_2002_05_30.txt,1040792,2002,5,30,110
1038005_2002_10_31.txt,1038005,2002,10,31,111
320333_2003_10_02.txt,320333,2003,10,2,112
225263_2003_02_04.txt,225263,2003,2,4,113
849778_2003_03_05.txt,849778,2003,3,5,114
1014507_2003_06_05.txt,1014507,2003,6,5,115
1116616_2003_05_05.txt,1116616,2003,5,5,116
66570_2003_08_06.txt,66570,2003,8,6,117
1009356_2003_05_06.txt,1009356,2003,5,6,118
102212_2003_10_07.txt,102212,2003,10,7,119
875657_2003_08_07.txt,875657,2003,8,7,120
1096376_2003_05_07.txt,1096376,2003,5,7,121
1115568_2003_10_07.txt,1115568,2003,10,7,122
892025_2003_04_08.txt,892025,2003,4,8,123
801748_2003_04_09.txt,801748,2003,4,9,124
748270_2003_11_10.txt,748270,2003,11,10,125
1005507_2003_09_10.txt,1005507,2003,9,10,126
890926_2003_02_11.txt,890926,2003,2,11,127
927102_2003_08_11.txt,927102,2003,8,11,128
893430_2003_05_12.txt,893430,2003,5,12,129
1135971_2003_01_13.txt,1135971,2003,1,13,130
92195_2003_03_14.txt,92195,2003,3,14,131
881890_2003_10_16.txt,881890,2003,10,16,132
874501_2003_10_17.txt,874501,2003,10,17,133
910322_2003_10_17.txt,910322,2003,10,17,134
1030485_2003_08_18.txt,1030485,2003,8,18,135
40704_2003_03_19.txt,40704,2003,3,19,136
768892_2003_08_19.txt,768892,2003,8,19,137
1043961_2003_11_19.txt,1043961,2003,11,19,138
888693_2003_08_21.txt,888693,2003,8,21,139
934550_2003_10_21.txt,934550,2003,10,21,140
1020828_2003_04_21.txt,1020828,2003,4,21,141
35214_2003_04_22.txt,35214,2003,4,22,142
703604_2003_07_22.txt,703604,2003,7,22,143
923601_2003_05_22.txt,923601,2003,5,22,144
85961_2003_12_23.txt,85961,2003,12,23,145
895812_2003_10_23.txt,895812,2003,10,23,146
1092605_2003_10_23.txt,1092605,2003,10,23,147
1090727_2003_04_24.txt,1090727,2003,4,24,148
921365_2003_03_25.txt,921365,2003,3,25,149
1070778_2003_03_25.txt,1070778,2003,3,25,150
1236964_2003_10_27.txt,1236964,2003,10,27,151
860518_2003_10_28.txt,860518,2003,10,28,152
920148_2003_04_28.txt,920148,2003,4,28,153
1020999_2003_07_29.txt,1020999,2003,7,29,154
1055160_2003_04_29.txt,1055160,2003,4,29,155
1116463_2003_07_29.txt,1116463,2003,7,29,156
1029506_2004_03_01.txt,1029506,2004,3,1,157
1091862_2004_07_01.txt,1091862,2004,7,1,158
3545_2004_02_02.txt,3545,2004,2,2,159
28917_2004_09_02.txt,28917,2004,9,2,160
740670_2004_03_03.txt,740670,2004,3,3,161
731939_2004_08_04.txt,731939,2004,8,4,162
1021561_2004_10_04.txt,1021561,2004,10,4,163
203596_2004_04_05.txt,203596,2004,4,5,164
894315_2004_11_05.txt,894315,2004,11,5,165
1054070_2004_08_05.txt,1054070,2004,8,5,166
814856_2004_04_06.txt,814856,2004,4,6,167
1008654_2004_04_06.txt,1008654,2004,4,6,168
3570_2004_01_07.txt,3570,2004,1,7,169
54381_2004_05_07.txt,54381,2004,5,7,170
764762_2004_05_07.txt,764762,2004,5,7,171
771999_2004_01_07.txt,771999,2004,1,7,172
708717_2004_03_08.txt,708717,2004,3,8,173
2601_2004_02_09.txt,2601,2004,2,9,174
867490_2004_01_09.txt,867490,2004,1,9,175
24545_2004_08_10.txt,24545,2004,8,10,176
845072_2004_02_11.txt,845072,2004,2,11,177
1051771_2004_03_11.txt,1051771,2004,3,11,178
69488_2004_02_12.txt,69488,2004,2,12,179
96943_2004_02_12.txt,96943,2004,2,12,180
98246_2004_11_12.txt,98246,2004,11,12,181
913165_2004_02_13.txt,913165,2004,2,13,182
1262001_2004_08_13.txt,1262001,2004,8,13,183
907072_2004_04_14.txt,907072,2004,4,14,184
849116_2004_04_15.txt,849116,2004,4,15,185
1047884_2004_10_15.txt,1047884,2004,10,15,186
858155_2004_03_16.txt,858155,2004,3,16,187
1140859_2004_07_16.txt,1140859,2004,7,16,188
355431_2004_02_17.txt,355431,2004,2,17,189
1015328_2004_11_17.txt,1015328,2004,11,17,190
1108524_2004_11_17.txt,1108524,2004,11,17,191
277058_2004_06_18.txt,277058,2004,6,18,192
801122_2004_02_18.txt,801122,2004,2,18,193
865415_2004_03_18.txt,865415,2004,3,18,194
874992_2004_05_18.txt,874992,2004,5,18,195
1036968_2004_10_19.txt,1036968,2004,10,19,196
1082368_2004_08_19.txt,1082368,2004,8,19,197
1143799_2004_05_19.txt,1143799,2004,5,19,198
911002_2004_10_20.txt,911002,2004,10,20,199
1022671_2004_05_20.txt,1022671,2004,5,20,200
1094808_2004_09_20.txt,1094808,2004,9,20,201
24545_2004_05_21.txt,24545,2004,5,21,202
873591_2004_04_21.txt,873591,2004,4,21,203
877890_2004_01_21.txt,877890,2004,1,21,204
74303_2004_06_22.txt,74303,2004,6,22,205
95304_2004_01_22.txt,95304,2004,1,22,206
356080_2004_10_22.txt,356080,2004,10,22,207
854398_2004_12_22.txt,854398,2004,12,22,208
95366_2004_08_23.txt,95366,2004,8,23,209
1057706_2004_07_23.txt,1057706,2004,7,23,210
1304562_2004_12_23.txt,1304562,2004,12,23,211
899647_2004_08_24.txt,899647,2004,8,24,212
1086795_2004_05_24.txt,1086795,2004,5,24,213
1136294_2004_11_24.txt,1136294,2004,11,24,214
1141185_2004_03_24.txt,1141185,2004,3,24,215
763744_2004_10_25.txt,763744,2004,10,25,216
885721_2004_02_25.txt,885721,2004,2,25,217
886171_2004_02_25.txt,886171,2004,2,25,218
1264242_2004_08_25.txt,1264242,2004,8,25,219
104207_2004_03_26.txt,104207,2004,3,26,220
106640_2004_02_26.txt,106640,2004,2,26,221
789881_2004_02_27.txt,789881,2004,2,27,222
813762_2004_04_27.txt,813762,2004,4,27,223
895385_2004_04_27.txt,895385,2004,4,27,224
920148_2004_09_27.txt,920148,2004,9,27,225
1020569_2004_05_27.txt,1020569,2004,5,27,226
350194_2004_01_28.txt,350194,2004,1,28,227
350563_2004_04_28.txt,350563,2004,4,28,228
889331_2004_04_28.txt,889331,2004,4,28,229
893162_2004_05_28.txt,893162,2004,5,28,230
1017673_2004_04_28.txt,1017673,2004,4,28,231
1143799_2004_10_28.txt,1143799,2004,10,28,232
