,avg,cik,tot,year
0,0.3905541258086164,936402,10,2001
1,0.3705428902691889,936402,140,2002
2,0.23374337161397546,936402,1820,2003
3,0.18307295708502114,936402,3770,2004
4,0.15773646925574572,936402,4988,2005
5,0.22539742053897555,936402,8342,2006
6,0.2736611812458125,936402,7081,2007
7,0.38556905080984655,936402,4745,2008
8,0.37253538166122097,936402,4420,2009
9,0.29348203661055233,936402,4760,2010
10,0.2739416287791583,936402,4270,2011
11,0.26049104410088453,936402,5246,2012
12,0.3134757624427858,936402,13330,2013
13,0.2832664386065234,936402,13330,2014
14,0.29596727428110364,936402,4644,2015
15,0.34055632352333526,920148,14,1996
16,0.2617378093884534,920148,63,1997
17,0.23126997550851847,920148,144,1998
18,0.2255942397888182,920148,336,1999
19,0.22122573135808443,920148,567,2000
20,0.2028015795177659,920148,486,2001
21,0.18495344661056648,920148,360,2002
22,0.20685028128365876,920148,300,2003
23,0.1992250770618294,920148,345,2004
24,0.17096038759989632,920148,713,2005
25,0.1853520514456676,920148,837,2006
26,0.1636618014705667,920148,1026,2007
27,0.1632153322803995,920148,1520,2008
28,0.16666358873769632,920148,1000,2009
29,0.17385912791815522,920148,1025,2010
30,0.22193793907157727,920148,1353,2011
31,0.197579056936608,920148,924,2012
32,0.16363389251054086,920148,840,2013
33,0.1760310510223039,920148,930,2014
34,0.19899273293362438,920148,1271,2015
35,0.27039560832268084,895126,36,1997
36,0.26508744927000777,895126,396,1998
37,0.2487085558589638,895126,330,1999
38,0.22805262127782336,895126,140,2000
39,0.20865985654823255,895126,294,2001
40,0.2076566386543475,895126,504,2002
41,0.19961482112082082,895126,792,2003
42,0.1976761873682443,895126,1287,2004
43,0.21871807766122436,895126,1404,2005
44,0.24297872559220024,895126,1224,2006
45,0.27134125269585485,895126,986,2007
46,0.2944850875526537,895126,1073,2008
47,0.30085892139752496,895126,814,2009
48,0.27317063502918515,895126,572,2010
49,0.2892757957481294,895126,780,2011
50,0.2879239618237939,895126,990,2012
51,0.2532057879968694,895126,726,2013
52,0.2280401816213028,895126,638,2014
53,0.2718682606577504,895126,319,2015
54,0.20100240890912655,1009356,15,2001
55,0.13977022083119375,1009356,345,2002
56,0.13335239985593503,1009356,667,2003
57,0.15561068636276204,1009356,1102,2004
58,0.16149204224432878,1009356,1558,2005
59,0.20447307370011344,1009356,1394,2006
60,0.2075057198329992,1009356,884,2007
61,0.19468902140964822,1009356,884,2008
62,0.19986266872434,1009356,952,2009
63,0.18571066488979804,1009356,700,2010
64,0.1959911539634357,1009356,425,2011
65,0.21614987872888888,1009356,340,2012
66,0.19034124096612565,1009356,260,2013
67,0.2282999763375409,1009356,143,2014
68,0.38404370474552046,1009356,77,2015
69,0.30331483484937694,20520,35,1998
70,0.25733952685161693,20520,45,1999
71,0.20509735925371791,20520,90,2000
72,0.179189714603292,20520,160,2001
73,0.20397147735720944,20520,224,2002
74,0.2689078918716432,20520,84,2003
75,0.2751846590381297,20520,84,2004
76,0.2965913619915442,20520,70,2005
77,0.29345029996424093,20520,110,2006
78,0.23698101942557023,20520,550,2007
79,0.24309637944779133,20520,525,2008
80,0.23227788182995707,20520,567,2009
81,0.21145762294574005,20520,999,2010
82,0.2614223721269175,20520,740,2011
83,0.2592270098374523,20520,560,2012
84,0.26249976409629494,20520,616,2013
85,0.25340283390860646,20520,660,2014
86,0.20393454307270045,20520,750,2015
87,0.24533036678228562,1031203,9,1999
88,0.15454810746086858,1031203,9,2000
89,0.1494514448042337,1031203,14,2002
90,0.16840727830156624,1031203,224,2003
91,0.1934184014944712,1031203,304,2004
92,0.20622224255933647,1031203,361,2005
93,0.19602543794699123,1031203,532,2006
94,0.16148752972286043,1031203,868,2007
95,0.15397521782828943,1031203,589,2008
96,0.15241903193300219,1031203,380,2009
97,0.15312067589985318,1031203,520,2010
98,0.13649995909760315,1031203,754,2011
99,0.11875059015196651,1031203,783,2012
100,0.12422780197118656,1031203,702,2013
101,0.13322457395841505,1031203,780,2014
102,0.1290939804784725,1031203,660,2015
