,avg,cik,tot,year
0,0.3849388578891464,936402,2,2000
1,0.3921668565461188,936402,5,2001
2,0.23428543222954978,936402,28,2002
3,0.20025316088122175,936402,65,2003
4,0.1096875147096853,936402,58,2004
5,0.14959623724776644,936402,86,2005
6,0.2539556518332296,936402,97,2006
7,0.2617360156565081,936402,73,2007
8,0.42819318582116433,936402,65,2008
9,0.2336623919056251,936402,68,2009
10,0.32278542070019156,936402,70,2010
11,0.18111549534838073,936402,61,2011
12,0.30085062641706595,936402,86,2012
13,0.2765642830831325,936402,155,2013
14,0.2589528242057502,936402,86,2014
15,0.25686971879093196,936402,54,2015
16,0.3811863280750888,920148,2,1995
17,0.25577579622837365,920148,7,1996
18,0.243261821959144,920148,9,1997
19,0.20460889520835812,920148,16,1998
20,0.2199969326363892,920148,21,1999
21,0.20285808843112896,920148,27,2000
22,0.1812448414302557,920148,18,2001
23,0.1740487749976522,920148,20,2002
24,0.21004295370595874,920148,15,2003
25,0.1354695833221897,920148,23,2004
26,0.1627498545764261,920148,31,2005
27,0.1668159406115283,920148,27,2006
28,0.13032485766360224,920148,38,2007
29,0.1632453879884766,920148,40,2008
30,0.14313307996021007,920148,25,2009
31,0.18240060337620986,920148,41,2010
32,0.21620436395260412,920148,33,2011
33,0.14647100951046696,920148,28,2012
34,0.15499420957726504,920148,30,2013
35,0.1731553036681019,920148,31,2014
36,0.2064472464127403,920148,41,2015
37,0.2407464254824282,895126,3,1996
38,0.2506335617417453,895126,12,1997
39,0.25411592499759894,895126,33,1998
40,0.22259717334056642,895126,10,1999
41,0.2162369511187615,895126,14,2000
42,0.18462315104436172,895126,21,2001
43,0.2046140196319227,895126,24,2002
44,0.17026077256650135,895126,33,2003
45,0.1876088675757412,895126,39,2004
46,0.2106264484634282,895126,36,2005
47,0.23891786904967244,895126,34,2006
48,0.2811394178198632,895126,29,2007
49,0.28876962200868644,895126,37,2008
50,0.28985460657424905,895126,22,2009
51,0.2371902860711851,895126,26,2010
52,0.3058091857367232,895126,30,2011
53,0.2390287753697881,895126,33,2012
54,0.24583179508741484,895126,22,2013
55,0.18573379887278338,895126,29,2014
56,0.31034158299959236,895126,11,2015
57,0.14655982726408548,1009356,15,2001
58,0.093498359082185,1009356,23,2002
59,0.13899619684358422,1009356,29,2003
60,0.13531949769630078,1009356,38,2004
61,0.15409952572621835,1009356,41,2005
62,0.21119813965352413,1009356,34,2006
63,0.17459213356695805,1009356,26,2007
64,0.17747760171988688,1009356,34,2008
65,0.19496873734472764,1009356,28,2009
66,0.15531288743326782,1009356,25,2010
67,0.1945903134059724,1009356,17,2011
68,0.20676997490934934,1009356,20,2012
69,0.14218786726346852,1009356,13,2013
70,0.2816945197398229,1009356,11,2014
71,0.437540062403125,1009356,7,2015
72,0.31556887713894877,20520,7,1997
73,0.23714790526196333,20520,5,1998
74,0.2047162383737392,20520,9,1999
75,0.18595226422340744,20520,10,2000
76,0.15957113712467572,20520,16,2001
77,0.23024581876985695,20520,14,2002
78,0.24790863917934447,20520,6,2003
79,0.2312556320442914,20520,14,2004
80,0.3136101295015422,20520,5,2005
81,0.23077456495164747,20520,22,2006
82,0.21502616011360468,20520,25,2007
83,0.242565378443088,20520,21,2008
84,0.1905006318866014,20520,27,2009
85,0.2183994693425316,20520,37,2010
86,0.27442655762280505,20520,20,2011
87,0.22010319654157837,20520,28,2012
88,0.28985112088477,20520,22,2013
89,0.16100245825888332,20520,30,2014
90,0.20052899255944895,20520,25,2015
91,0.18470194044237975,1031203,9,1999
92,0.14493551398546942,1031203,14,2002
93,0.15686877603373475,1031203,16,2003
94,0.17889490203140973,1031203,19,2004
95,0.19792121846305455,1031203,19,2005
96,0.15715516669304175,1031203,28,2006
97,0.14682696773008994,1031203,31,2007
98,0.133189069216318,1031203,19,2008
99,0.1550408654838137,1031203,20,2009
100,0.13789231435745827,1031203,26,2010
101,0.10998645118035494,1031203,29,2011
102,0.11029377753297544,1031203,27,2012
103,0.12376430893818426,1031203,26,2013
104,0.12498955259858165,1031203,30,2014
105,0.12381626092438144,1031203,22,2015
